Question,Option A,Option B,Option C,Option D,Correct Answer
Which cells in the testes synthesize and secrete androgens?,Germ cells,Leydig cells,Interstitial macrophages,Sertoli cells,Leydig cells
What is the function of the acrosome in sperm?,Contain genetic material,Secrete testosterone,Provide energy for motility,Contain enzymes to penetrate ovum,Contain enzymes to penetrate ovum
Which hormone induces the development of ovaries and secondary sexual characteristics in females?,Testosterone,Progesterone,Luteinizing hormone,Follicle-stimulating hormone,Follicle-stimulating hormone
Where does fertilization usually occur in the female reproductive tract?,Uterus,Ampulla of Fallopian tube,Cervix,Vagina,Ampulla of Fallopian tube
What is the shared terminal duct for urine and semen in males?,Vas deferens,Seminal vesicle,Epididymis,Urethra,Urethra
Which part of the female external genitalia surrounds the vaginal opening?,Clitoris,Labia majora,Labia minora,Mons pubis,Labia minora
What is the primary male sex hormone?,Oxytocin,Estrogen,Progesterone,Testosterone,Testosterone
Which structure in the female reproductive system is the lower constricted segment of the uterus?,Vagina,Ovary,Cervix,Fallopian tube,Cervix
Which accessory gland contributes seminal plasma in males?,Thyroid gland,Prostate gland,Adrenal gland,Pancreas,Prostate gland
What is the function of Sertoli cells in the testes?,Produce testosterone,Transport sperm,Provide nutrition to germ cells,Secrete LH,Provide nutrition to germ cells
At what age does puberty typically begin in females?,8-10 years,20-22 years,17-19 years,13-15 years,13-15 years
Which hormone stimulates milk ejection during lactation?,FSH,Prolactin,Estrogen,Oxytocin,Oxytocin
What is the term for the fluid-filled cavity in the tertiary follicle of the ovary?,Zona pellucida,Corpus luteum,Antrum,Endometrium,Antrum
Which part of the male reproductive system stores sperm for maturation?,Epididymis,Prostate gland,Vas deferens,Seminal vesicle,Epididymis
What is the function of fimbriae in the female reproductive system?,Collect ovum after ovulation,Secrete estrogen,Produce progesterone,Transport sperm,Collect ovum after ovulation
Which structure forms the birth canal in females?,Cervix and fallopian tube,Uterus and cervix,Ovary and vagina,Vagina and cervix,Vagina and cervix
What is the approximate length of the male urethra?,4 inches,12 inches,8 inches,2 inches,8 inches
Which cells undergo meiosis to form sperm in the seminiferous tubules?,Spermatogonia,Interstitial cells,Sertoli cells,Leydig cells,Spermatogonia
What is the role of hyaluronidase enzyme in sperm?,Break down ovum membrane,Stimulate testosterone production,Help fertilization by digesting zona pellucida,Provide motility,Help fertilization by digesting zona pellucida
Which female reproductive organ produces ova?,Fallopian tube,Uterus,Ovary,Vagina,Ovary
Which hormone is responsible for milk production?,Testosterone,Prolactin,Oxytocin,Estrogen,Prolactin
What is the name of the paired folds of skin outside the vagina?,Mons pubis,Clitoris,Labia minora,Labia majora,Labia majora
Where is the site of sperm production?,Seminiferous tubules,Seminal vesicle,Epididymis,Prostate gland,Seminiferous tubules
What is the function of the prostate gland?,Secrete testosterone,Produce seminal fluid,Produce estrogen,Store sperm,Produce seminal fluid
Which structure connects the testes to the urethra?,Seminal vesicle,Epididymis,Vas deferens,Fallopian tube,Vas deferens
Which hormone triggers ovulation in females?,Progesterone,LH,Estrogen,FSH,LH
What is the main function of the uterus?,Produce ova,Produce hormones,Nourish developing embryo,Store sperm,Nourish developing embryo
Which part of the sperm contains mitochondria to provide energy?,Head,Acrosome,Tail,Middle piece,Middle piece
What is the name of the process where sperm and egg unite?,Implantation,Ovulation,Ejaculation,Fertilization,Fertilization
Which structure in males is responsible for sperm maturation and storage?,Seminal vesicle,Vas deferens,Prostate gland,Epididymis,Epididymis
What is the role of the fallopian tubes?,Transport sperm,Produce hormones,Transport ovum,Site of fertilization,Transport ovum
Which hormone is primarily responsible for the development of male secondary sexual characteristics?,Estrogen,FSH,Progesterone,Testosterone,Testosterone
What is the function of the cervix?,Produce hormones,Connect uterus to vagina,Site of fertilization,Produce ova,Connect uterus to vagina
Which part of the female reproductive system is homologous to the male penis?,Labia majora,Ovary,Clitoris,Vagina,Clitoris
What is the name of the membrane that partially covers the vaginal opening?,Mons pubis,Hymen,Labia minora,Perineum,Hymen
Which accessory gland in males produces a mucus-like fluid to lubricate the urethra?,Seminal vesicle,Prostate gland,Epididymis,Bulbourethral gland,Bulbourethral gland
What is the function of the seminal vesicles?,Transport sperm,Produce seminal fluid,Produce testosterone,Store sperm,Produce seminal fluid
Which hormone regulates the menstrual cycle?,Testosterone,Estrogen,Progesterone,FSH,Estrogen
What is the anatomical term for the external female genitalia?,Vulva,Uterus,Vagina,Ovary,Vulva
Which structure transports sperm from the epididymis to the ejaculatory duct?,Vas deferens,Prostate gland,Urethra,Seminal vesicle,Vas deferens
What is the function of the corpus luteum?,Secrete estrogen,Secrete progesterone,Produce ova,Store sperm,Secrete progesterone
Which part of the sperm contains the genetic material?,Middle piece,Head,Acrosome,Tail,Head
Where does spermatogenesis occur?,Seminiferous tubules,Prostate gland,Seminal vesicle,Epididymis,Seminiferous tubules
Which hormone stimulates the development of the endometrium during the menstrual cycle?,Estrogen,Progesterone,FSH,LH,Estrogen
What is the function of the vagina?,Secrete hormones,Birth canal,Produce ova,Site of fertilization,Birth canal
Which male reproductive structure produces sperm?,Testes,Seminal vesicle,Prostate gland,Epididymis,Testes
What is the role of the fallopian tube's isthmus?,Site of fertilization,Collect ovum,Produce hormones,Connect ampulla to uterus,Connect ampulla to uterus
Which hormone is secreted by the corpus luteum?,Estrogen,FSH,Progesterone,LH,Progesterone
What is the name of the finger-like projections at the end of the fallopian tubes?,Fimbriae,Isthmus,Ampulla,Infundibulum,Fimbriae
Which part of the uterus is shed during menstruation?,Cervix,Myometrium,Endometrium,Perimetrium,Endometrium
What is the function of the clitoris?,Sexual arousal,Produce ova,Transport sperm,Secrete hormones,Sexual arousal
Which male gland contributes the largest volume of seminal fluid?,Bulbourethral gland,Epididymis,Prostate gland,Seminal vesicle,Seminal vesicle
Where is testosterone primarily produced?,Sertoli cells,Epididymis,Prostate gland,Leydig cells,Leydig cells
Which structure connects the ovary to the uterus?,Urethra,Vas deferens,Fallopian tube,Epididymis,Fallopian tube
What is the term for the process of sperm release from the penis?,Menstruation,Fertilization,Ejaculation,Ovulation,Ejaculation
Which hormone causes the development of mammary glands?,Estrogen,Prolactin,Progesterone,Testosterone,Estrogen
What is the function of the hymen?,Transport sperm,Produce hormones,Protect vaginal opening,Site of fertilization,Protect vaginal opening
Which part of the male reproductive system stores and transports sperm?,Epididymis,Vas deferens,Prostate gland,Seminal vesicle,Epididymis
What is the role of the uterus during pregnancy?,Secrete testosterone,Produce sperm,Nourish embryo,Produce ova,Nourish embryo
Which hormone triggers the release of an ovum from the ovary?,Progesterone,Estrogen,LH,FSH,LH
What is the name of the muscular tube that connects the cervix to the external body?,Fallopian tube,Penis,Vagina,Urethra,Vagina
Which part of the sperm contains enzymes to penetrate the egg?,Acrosome,Head,Middle piece,Tail,Acrosome
What is the function of the bulbourethral gland?,Store sperm,Produce testosterone,Produce mucus to lubricate urethra,Produce seminal fluid,Produce mucus to lubricate urethra
Which structure in females produces estrogen?,Ovary,Vagina,Fallopian tube,Uterus,Ovary
What is the function of the seminiferous tubules?,Store sperm,Produce sperm,Secrete seminal fluid,Produce testosterone,Produce sperm
Which hormone is responsible for the development of female secondary sexual characteristics?,Testosterone,FSH,Estrogen,Progesterone,Estrogen
What is the name of the duct that carries sperm from the testes to the urethra?,Vas deferens,Seminal vesicle,Epididymis,Prostate gland,Vas deferens
