Question,Option A,Option B,Option C,Option D,Correct Answer
Which method is used in Mongoose to create a new document in a collection?,insert,save,create,add,create
What does the populate() method in Mongoose do?,Deletes a document,Updates a document,Fetches related documents via references,Validates schema,Fetches related documents via references
Which of the following is NOT a valid Mongoose schema type?,String,Number,Date,Float,Float
How do you connect Mongoose to a MongoDB database?,mongoose.connect(),mongoose.attach(),mongoose.start(),mongoose.open(),mongoose.connect()
What is the default promise library used by Mongoose as of version 5.x?,Bluebird,Native ES6 Promises,Q,async,Native ES6 Promises
Which Mongoose method is used to retrieve all documents from a collection?,findAll(),getAll(),find(),retrieve(),find()
How do you define a required field in a Mongoose schema?,required:true,mandatory:true,obligatory:true,force:true,required:true
Which method is used to update a single document in Mongoose?,updateOne(),update(),updateMany(),replaceOne(),updateOne()
What is the purpose of the lean() method in Mongoose?,Returns plain JS objects,Optimizes queries for speed,Removes schema validation,All of the above,Returns plain JS objects
Which Mongoose method is used to delete multiple documents?,delete(),deleteMany(),removeAll(),drop(),deleteMany()
How do you handle validation errors in Mongoose?,By using error middleware,By using try-catch,By using callbacks,All of the above,All of the above
Which method in Mongoose is used to find a document by its _id?,findById(),findOneById(),getById(),find(),findById()
What does the toObject() method do in Mongoose?,Converts a document to a plain JS object,Converts a document to a string,Converts a document to JSON,Deletes the document,Converts a document to a plain JS object
Which method is used to perform aggregation in Mongoose?,aggregate(),groupBy(),sum(),pipeline(),aggregate()
Which of the following is NOT a valid Mongoose middleware hook?,pre,post,after,init,after
Which method is used to remove a document instance in Mongoose?,delete(),remove(),deleteOne(),drop(),remove()
How do you specify a default value in a Mongoose schema?,default: value,defaultValue: value,defaultVal: value,def: value,default: value
What does the exec() method do in Mongoose?,Executes a query,Exports a model,Exits the process,Executes middleware,Executes a query
Which of the following is used to define a virtual property in Mongoose?,schema.virtual(),schema.addVirtual(),schema.setVirtual(),schema.defineVirtual(),schema.virtual()
Which method is used to count documents in a collection in Mongoose?,count(),countDocuments(),getCount(),countAll(),countDocuments()
How do you define an enum validator in a Mongoose schema?,enum: [values],enumValues: [values],enums: [values],enumSet: [values],enum: [values]
What does the timestamps option do in a Mongoose schema?,Adds createdAt and updatedAt fields,Enables versioning,Adds a timestamp field only,Disables timestamps,Adds createdAt and updatedAt fields
Which command is used to install Mongoose in a Node.js project?,npm install mongoose,yarn get mongoose,npm get mongoose,yarn install mongoose,npm install mongoose
