Question,Option A,Option B,Option C,Option D,Correct Answer
Which Python module is primarily used for reading and writing CSV files?,os,csv,json,sys,csv
When opening a CSV file for writing with the csv module what value should newline be set to?,None,'\n','',False,''
What does the csv.reader() function return?,A list of rows,A file object,A reader object,An iterator of dictionaries,A reader object
Which method is used to write a single row to a CSV file using csv.writer?,write(),write_row(),writerow(),writerows(),writerow()
What parameter in open() specifies the file encoding when reading a CSV file?,mode,encoding,delimiter,quotechar,encoding
What does csv.DictReader return for each row?,A list,A tuple,A dictionary,A string,A dictionary
Which argument in csv.writer controls how fields are quoted?,delimiter,quotechar,quoting,escapechar,quoting
Which constant makes csv.writer quote all fields?,csv.QUOTE_MINIMAL,csv.QUOTE_ALL,csv.QUOTE_NONNUMERIC,csv.QUOTE_NONE,csv.QUOTE_ALL
How do you skip the header row when reading a CSV file with csv.reader?,Use next(reader),Use reader.skipheader(),Set header=False,Use reader.header(),Use next(reader)
What happens if you try to read a non-existent CSV file?,Returns empty list,Raises FileNotFoundError,Returns None,Creates a new file,Raises FileNotFoundError
Which method writes multiple rows at once with csv.writer?,writerow(),writerows(),writelines(),writeall(),writerows()
What does the delimiter parameter in csv.reader() control?,Row separator,Column separator,File encoding,Quote character,Column separator
How do you specify a custom delimiter when reading a CSV file?,delimiter=',' ,delimiter=';',quotechar=';',dialect='excel',delimiter=';'
What does csv.QUOTE_NONE do?,Quotes all fields,Quotes only fields with special characters,Never quotes fields,Quotes only non-numeric fields,Never quotes fields
Which exception is raised by the csv module on error?,IOError,csv.Error,ValueError,FileNotFoundError,csv.Error
How do you read a CSV file as a list of dictionaries?,csv.reader(),csv.DictReader(),csv.read_dict(),csv.DictWriter(),csv.DictReader()
What does the fieldnames parameter in csv.DictWriter specify?,Row values,Column names,File name,Encoding,Column names
Which pandas function reads a CSV file into a DataFrame?,pandas.read(),pandas.read_csv(),pandas.csv_read(),pandas.DataFrame(),pandas.read_csv()
What does the quotechar parameter in csv.writer() specify?,Comment character,Escape character,Field quote character,Row separator,Field quote character
How do you write a CSV file using pandas?,to_csv(),write_csv(),save_csv(),csv_write(),to_csv()
What is the default delimiter used by csv.reader()?,Tab,Comma,Semicolon,Space,Comma
Which parameter in open() should be set to avoid extra blank lines when writing CSV files?,buffering,newline='',encoding,mode,newline=''
How do you handle missing keys in csv.DictWriter?,restval,extrasaction,missingkey,default,restval
What does csv.Sniffer().sniff() do?,Detects encoding,Detects delimiter,Detects file size,Detects line endings,Detects delimiter
Which method is used to register a new CSV dialect?,csv.register(),csv.register_dialect(),csv.add_dialect(),csv.dialect(),csv.register_dialect()
